#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-07-08"
#curie_map:
#  ECOCORE: "http://purl.obolibrary.org/obo/ECOCORE_"
#  MICRO: "http://purl.obolibrary.org/obo/MICRO_"
#  OBA: "http://purl.obolibrary.org/obo/OBA_"
#  OMP: "http://purl.obolibrary.org/obo/OMP_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
OMP:0007110	chemolithotrophic	owl:equivalentClass	MICRO:0001476	chemolithotrophic	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.24805074696865662	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolic quality	chemolithotrophic	one_to_many	.
OMP:0005382	tail morphology phenotype	owl:equivalentClass	OBA:VT0002111	tail morphology trait	Lexical|Flattening	OMP	OBA	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	entity	morphologytail	unique	.
OMP:0005382	tail morphology phenotype	owl:equivalentClass	OBA:VT0002111	tail morphology trait	Lexical|Stemming	OMP	OBA	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	microbial_phenotype	entity	tail morpholog	unique	.
OBA:0000039	buoyancy	owl:equivalentClass	PATO:0001420	buoyancy	Lexical|Stemming	OBA	PATO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	oba	quality	buoyanc	unique	.
OBA:0000039	buoyancy	owl:equivalentClass	PATO:0001420	buoyancy	Lexical	OBA	PATO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	oba	quality	buoyancy	unique	.
OBA:0000039	buoyancy	owl:equivalentClass	PATO:0001420	buoyancy	Lexical|Flattening	OBA	PATO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	oba	quality	buoyancy	unique	.
PATO:0001824	dry	owl:equivalentClass	MICRO:0000294	dry colony	Lexical	PATO	MICRO	rdf_matcher	0.09217307446755527	rdfs:label	oio:hasBroadSynonym	quality	physically distinct colony	dry	many_to_one	.
PATO:0001824	dry	owl:equivalentClass	MICRO:0000294	dry colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.06698457989158757	rdfs:label	oio:hasBroadSynonym	quality	physically distinct colony	dry	many_to_one	.
PATO:0001824	dry	owl:equivalentClass	MICRO:0000294	dry colony	Lexical|Flattening	PATO	MICRO	rdf_matcher	0.034652894744021626	rdfs:label	oio:hasBroadSynonym	quality	physically distinct colony	dry	many_to_one	.
MICRO:0000488	urease assay	owl:equivalentClass	OMP:0000222	urease test phenotype	Lexical|Flattening	MICRO	OMP	rdf_matcher	0.36481689431254416	oio:hasExactSynonym	rdfs:label	enzymatic assay	microbial_phenotype	testurease	unique	.
MICRO:0000488	urease assay	owl:equivalentClass	OMP:0000222	urease test phenotype	Lexical|Stemming	MICRO	OMP	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	enzymatic assay	microbial_phenotype	urease test	unique	.
OBA:VT0001882	lactation trait	owl:equivalentClass	MICRO:0000963	lactic acid assimilation assay	Lexical|Stemming	OBA	MICRO	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasRelatedSynonym	entity	lactic acid assimilation assay	lactat	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical	MICRO	PATO	rdf_matcher	0.28882627939393013	oio:hasBroadSynonym	rdfs:label	morphologically distinct colony	quality	mucoid	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.22310461320426228	oio:hasBroadSynonym	rdfs:label	morphologically distinct colony	quality	mucoid	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.1255586653340269	oio:hasBroadSynonym	rdfs:label	morphologically distinct colony	quality	mucoid	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.1111111111111111	oio:hasBroadSynonym	oio:hasRelatedSynonym	morphologically distinct colony	quality	mucou	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical	MICRO	PATO	rdf_matcher	0.15022110482233483	oio:hasBroadSynonym	oio:hasRelatedSynonym	morphologically distinct colony	quality	mucous	unique	.
MICRO:0000298	mucoid colony	owl:equivalentClass	PATO:0001371	mucoid	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.058823529411764705	oio:hasBroadSynonym	oio:hasRelatedSynonym	morphologically distinct colony	quality	mucous	unique	.
MICRO:0001390	acidophile	owl:equivalentClass	OMP:0005009	acidophile	Lexical|Stemming	MICRO	OMP	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	http://purl.obolibrary.org/obo/CL_0000520	microbial_phenotype	acidophil	unique	.
MICRO:0001390	acidophile	owl:equivalentClass	PATO:0002418	acidophilic	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	http://purl.obolibrary.org/obo/CL_0000520	quality	acidophil	unique	.
MICRO:0001390	acidophile	owl:equivalentClass	OMP:0005009	acidophile	Lexical	MICRO	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	http://purl.obolibrary.org/obo/CL_0000520	microbial_phenotype	acidophile	unique	.
MICRO:0001390	acidophile	owl:equivalentClass	OMP:0005009	acidophile	Lexical|Flattening	MICRO	OMP	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	http://purl.obolibrary.org/obo/CL_0000520	microbial_phenotype	acidophile	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	OMP:0000154	undulate margin	Lexical|Flattening	MICRO	OMP	rdf_matcher	0.1255586653340269	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	microbial_phenotype	marginundulate	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	PATO:0000967	undulate	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.2	oio:hasBroadSynonym	oio:hasExactSynonym	distinctly shaped colony	quality	undul	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	PATO:0000967	undulate	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.2	oio:hasBroadSynonym	oio:hasExactSynonym	distinctly shaped colony	quality	undul	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	PATO:0000967	undulate	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.22310461320426228	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	quality	undul	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	PATO:0000967	undulate	Lexical	MICRO	PATO	rdf_matcher	0.28882627939393013	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	quality	undulate	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	PATO:0000967	undulate	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.1255586653340269	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	quality	undulate	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	OMP:0000154	undulate margin	Lexical	MICRO	OMP	rdf_matcher	0.28882627939393013	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	microbial_phenotype	undulate margin	unique	.
MICRO:0000339	undulate colony	owl:equivalentClass	OMP:0000154	undulate margin	Lexical|Stemming	MICRO	OMP	rdf_matcher	0.22310461320426228	oio:hasBroadSynonym	rdfs:label	distinctly shaped colony	microbial_phenotype	undulate margin	unique	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.1255586653340269	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	glisten	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical	MICRO	PATO	rdf_matcher	0.1687884029048977	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	glistening	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.06698457989158757	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	glistening	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.1111111111111111	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	glossi	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical	MICRO	PATO	rdf_matcher	0.15022110482233483	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	glossy	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.058823529411764705	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	glossy	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.1111111111111111	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	shini	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical	MICRO	PATO	rdf_matcher	0.15022110482233483	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	shiny	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001373	glistening	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.058823529411764705	oio:hasBroadSynonym	oio:hasExactSynonym	glistening colony	quality	shiny	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001823	wet	Lexical	MICRO	PATO	rdf_matcher	0.09217307446755527	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	wet	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001822	wetness	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.06698457989158757	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	wet	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001823	wet	Lexical|Stemming	MICRO	PATO	rdf_matcher	0.06698457989158757	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	wet	one_to_many	.
MICRO:0000297	glistening colony	owl:equivalentClass	PATO:0001823	wet	Lexical|Flattening	MICRO	PATO	rdf_matcher	0.034652894744021626	oio:hasBroadSynonym	rdfs:label	glistening colony	quality	wet	one_to_many	.
OMP:0000180	metabolic phenotype	owl:equivalentClass	OBA:VT0002121	metabolism trait	Lexical|Stemming	OMP	OBA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	microbial_phenotype	entity	metabol	unique	.
OMP:0000180	metabolic phenotype	owl:equivalentClass	OBA:VT0002121	metabolism trait	Lexical|Flattening	OMP	OBA	rdf_matcher	0.36481689431254416	oio:hasExactSynonym	rdfs:label	microbial_phenotype	entity	metabolism	unique	.
OMP:0000180	metabolic phenotype	owl:equivalentClass	OBA:VT0002121	metabolism trait	Lexical|Stemming	OMP	OBA	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	microbial_phenotype	entity	metabol	unique	.
ECOCORE:00000175	auxotroph	owl:equivalentClass	OMP:0007069	requires growth factor(s)	Lexical	ECOCORE	OMP	rdf_matcher	0.6189757386701197	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	auxotroph	unique	.
ECOCORE:00000175	auxotroph	owl:equivalentClass	OMP:0007069	requires growth factor(s)	Lexical|Stemming	ECOCORE	OMP	rdf_matcher	0.5346019613807635	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	auxotroph	unique	.
ECOCORE:00000175	auxotroph	owl:equivalentClass	OMP:0007069	requires growth factor(s)	Lexical|Stemming	ECOCORE	OMP	rdf_matcher	0.5346019613807635	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	auxotroph	unique	.
ECOCORE:00000175	auxotroph	owl:equivalentClass	PATO:0000422	auxotrophic	Lexical|Stemming	ECOCORE	PATO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	entity	quality	auxotroph	unique	.
ECOCORE:00000175	auxotroph	owl:equivalentClass	OMP:0007069	requires growth factor(s)	Lexical|Flattening	ECOCORE	OMP	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	auxotroph	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	ECOCORE:00000011	heterotrophy	Lexical|Stemming	OMP	ECOCORE	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	microbial_phenotype	entity	heterotrophi	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	MICRO:0001442	heterotrophy	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	microbial_phenotype	thing	heterotrophi	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	ECOCORE:00000011	heterotrophy	Lexical	OMP	ECOCORE	rdf_matcher	0.6189757386701197	oio:hasExactSynonym	rdfs:label	microbial_phenotype	entity	heterotrophy	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	MICRO:0001442	heterotrophy	Lexical	OMP	MICRO	rdf_matcher	0.6189757386701197	oio:hasExactSynonym	rdfs:label	microbial_phenotype	thing	heterotrophy	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	ECOCORE:00000011	heterotrophy	Lexical|Flattening	OMP	ECOCORE	rdf_matcher	0.36481689431254416	oio:hasExactSynonym	rdfs:label	microbial_phenotype	entity	heterotrophy	unique	.
OMP:0006024	presence of organic carbon source utilization	owl:equivalentClass	MICRO:0001442	heterotrophy	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.36481689431254416	oio:hasExactSynonym	rdfs:label	microbial_phenotype	thing	heterotrophy	unique	.
MICRO:0001499	chemolithotroph	owl:equivalentClass	OMP:0007110	chemolithotrophic	Lexical|Stemming	MICRO	OMP	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	prokaryotic metabolically differentiated cell	microbial_phenotype	chemolithotroph	many_to_one	.
OMP:0000062	increased virulence	owl:equivalentClass	PATO:0002148	increased virulence	Lexical|Stemming	OMP	PATO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	microbial_phenotype	quality	increased virul	unique	.
OMP:0000062	increased virulence	owl:equivalentClass	PATO:0002148	increased virulence	Lexical	OMP	PATO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	microbial_phenotype	quality	increased virulence	unique	.
OMP:0000062	increased virulence	owl:equivalentClass	PATO:0002148	increased virulence	Lexical|Flattening	OMP	PATO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	quality	increasedvirulence	unique	.
OMP:0000062	increased virulence	owl:equivalentClass	PATO:0002148	increased virulence	Lexical	OMP	PATO	rdf_matcher	0.9783806380088231	oio:hasDbXref	dc:identifier	microbial_phenotype	quality	PATO:0002148	unique	.
OMP:0000124	spirillum	owl:equivalentClass	MICRO:0000367	spirillum	Lexical	OMP	MICRO	rdf_matcher	0.48267825516781476	rdfs:label	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	spirillum	many_to_one	.
OMP:0000124	spirillum	owl:equivalentClass	MICRO:0000367	spirillum	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	spirillum	many_to_one	.
OMP:0000124	spirillum	owl:equivalentClass	MICRO:0000367	spirillum	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.24805074696865662	rdfs:label	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	spirillum	many_to_one	.
OMP:0007109	chemotrophic phenotype	owl:equivalentClass	MICRO:0001458	chemotrophic	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolic quality	chemotroph	one_to_many	.
OMP:0007109	chemotrophic phenotype	owl:equivalentClass	MICRO:0001494	chemotroph	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolically differentiated cell	chemotroph	one_to_many	.
OMP:0007109	chemotrophic phenotype	owl:equivalentClass	MICRO:0001458	chemotrophic	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.24805074696865662	rdfs:label	rdfs:label	microbial_phenotype	prokaryotic metabolic quality	chemotrophic	one_to_many	.
ECOCORE:00000174	prototroph	owl:equivalentClass	OMP:0007018	does not require growth factor(s)	Lexical	ECOCORE	OMP	rdf_matcher	0.6189757386701197	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	prototroph	unique	.
ECOCORE:00000174	prototroph	owl:equivalentClass	OMP:0007018	does not require growth factor(s)	Lexical|Stemming	ECOCORE	OMP	rdf_matcher	0.5346019613807635	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	prototroph	unique	.
ECOCORE:00000174	prototroph	owl:equivalentClass	OMP:0007018	does not require growth factor(s)	Lexical|Stemming	ECOCORE	OMP	rdf_matcher	0.5346019613807635	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	prototroph	unique	.
ECOCORE:00000174	prototroph	owl:equivalentClass	PATO:0000423	prototrophic	Lexical|Stemming	ECOCORE	PATO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	entity	microbial_phenotype	prototroph	unique	.
ECOCORE:00000174	prototroph	owl:equivalentClass	OMP:0007018	does not require growth factor(s)	Lexical|Flattening	ECOCORE	OMP	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasExactSynonym	entity	microbial_phenotype	prototroph	unique	.
OMP:0000076	rod-shaped cells	owl:equivalentClass	MICRO:0000401	bacillus	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	bacillu	unique	.
OMP:0000076	rod-shaped cells	owl:equivalentClass	MICRO:0000401	bacillus	Lexical	OMP	MICRO	rdf_matcher	0.6189757386701197	oio:hasExactSynonym	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	bacillus	unique	.
OMP:0000076	rod-shaped cells	owl:equivalentClass	MICRO:0000401	bacillus	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.36481689431254416	oio:hasExactSynonym	rdfs:label	microbial_phenotype	distinctively shaped prokaryotic cell	bacillus	unique	.
PATO:0002227	cup-shaped	owl:equivalentClass	MICRO:0000355	crateriform colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.22310461320426228	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	cup-shap	unique	.
PATO:0002227	cup-shaped	owl:equivalentClass	MICRO:0000355	crateriform colony	Lexical	PATO	MICRO	rdf_matcher	0.28882627939393013	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	cup-shaped	unique	.
PATO:0002227	cup-shaped	owl:equivalentClass	MICRO:0000355	crateriform colony	Lexical|Flattening	PATO	MICRO	rdf_matcher	0.1255586653340269	rdfs:label	oio:hasBroadSynonym	quality	distinctly shaped colony	cupshaped	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	MICRO:0001516	obligate aerobe	Lexical|Flattening	ECOCORE	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	entity	prokaryotic metabolically differentiated cell	aerobeobligate	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	OMP:0000185	obligate aerobe	Lexical|Flattening	ECOCORE	OMP	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	entity	microbial_phenotype	aerobeobligate	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	MICRO:0001516	obligate aerobe	Lexical|Stemming	ECOCORE	MICRO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	entity	prokaryotic metabolically differentiated cell	obligate aerob	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	OMP:0000185	obligate aerobe	Lexical|Stemming	ECOCORE	OMP	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	entity	microbial_phenotype	obligate aerob	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	MICRO:0001516	obligate aerobe	Lexical	ECOCORE	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	entity	prokaryotic metabolically differentiated cell	obligate aerobe	unique	.
ECOCORE:00000179	obligate aerobe	owl:equivalentClass	OMP:0000185	obligate aerobe	Lexical	ECOCORE	OMP	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	entity	microbial_phenotype	obligate aerobe	unique	.
OBA:VT0001930	meiosis trait	owl:equivalentClass	OMP:0007561	meiotic nuclear division phenotype	Lexical|Stemming	OBA	OMP	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasRelatedSynonym	entity	microbial_phenotype	meiosi	unique	.
OBA:VT0001930	meiosis trait	owl:equivalentClass	OMP:0007561	meiotic nuclear division phenotype	Lexical|Flattening	OBA	OMP	rdf_matcher	0.22310461320426228	rdfs:label	oio:hasRelatedSynonym	entity	microbial_phenotype	meiosis	unique	.
MICRO:0001478	chemolithoheterotrophic	owl:equivalentClass	ECOCORE:00000128	chemolithoheterotroph	Lexical|Stemming	MICRO	ECOCORE	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	prokaryotic metabolic quality	entity	chemolithoheterotroph	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical	PATO	MICRO	rdf_matcher	0.1687884029048977	rdfs:label	oio:hasBroadSynonym	quality	thing	circular	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.1255586653340269	rdfs:label	oio:hasBroadSynonym	quality	thing	circular	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical|Flattening	PATO	MICRO	rdf_matcher	0.06698457989158757	rdfs:label	oio:hasBroadSynonym	quality	thing	circular	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical	PATO	MICRO	rdf_matcher	0.08121030314161228	oio:hasRelatedSynonym	oio:hasBroadSynonym	quality	thing	round	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.058823529411764705	oio:hasRelatedSynonym	oio:hasBroadSynonym	quality	thing	round	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical|Flattening	PATO	MICRO	rdf_matcher	0.030303030303030304	oio:hasRelatedSynonym	oio:hasBroadSynonym	quality	thing	round	many_to_one	.
PATO:0000411	circular	owl:equivalentClass	MICRO:0000346	circular colony	Lexical|Stemming	PATO	MICRO	rdf_matcher	0.058823529411764705	oio:hasRelatedSynonym	oio:hasBroadSynonym	quality	thing	round	many_to_one	.
OMP:0000232	iridescent colony	owl:equivalentClass	MICRO:0000304	iridescent colony	Lexical|Flattening	OMP	MICRO	rdf_matcher	0.39750105926563917	rdfs:label	rdfs:label	microbial_phenotype	colony having distinct process quality	colonyiridescent	unique	.
OMP:0000232	iridescent colony	owl:equivalentClass	MICRO:0000304	iridescent colony	Lexical|Stemming	OMP	MICRO	rdf_matcher	0.568874072230784	rdfs:label	rdfs:label	microbial_phenotype	colony having distinct process quality	iridescent coloni	unique	.
OMP:0000232	iridescent colony	owl:equivalentClass	MICRO:0000304	iridescent colony	Lexical	OMP	MICRO	rdf_matcher	0.6510896797541332	rdfs:label	rdfs:label	microbial_phenotype	colony having distinct process quality	iridescent colony	unique	.
